Accident_Index,Longitude,Latitude,SV,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Time,1st_Road_Class,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Vehicle1_Type,Vehicle2_Type,Vehicle3_Type,Vehicle1_Manoeuvre,Vehicle2_Manoeuvre,Vehicle3_Manoeuvre,Vehicle1_Location-Restricted_Lane,Vehicle2_Location-Restricted_Lane,Vehicle3_Location-Restricted_Lane,Junction1_Location,Junction2_Location,Junction3_Location,Skidding1_and_Overturning,Skidding2_and_Overturning,Skidding3_and_Overturning,Hit_Object_in_Carriageway1,Hit_Object_in_Carriageway2,Hit_Object_in_Carriageway3,Vehicle1_Leaving_Carriageway,Vehicle2_Leaving_Carriageway,Vehicle3_Leaving_Carriageway,Hit_Object_off_Carriageway1,Hit_Object_off_Carriageway2,Hit_Object_off_Carriageway3,1st_Point_of_Impact1,1st_Point_of_Impact2,1st_Point_of_Impact3,Was_Vehicle 1_Left_Hand_Drive?,Was_Vehicle2_Left_Hand_Drive?,Was_Vehicle 3_Left_Hand_Drive?,Journey_Purpose_of_Driver1,Journey_Purpose_of_Driver2,Journey_Purpose_of_Driver3,Sex_of_Driver1,Sex_of_Driver2,Sex_of_Driver3,Age_Band_of_Driver1,Age_Band_of_Driver2,Age_Band_of_Driver3,Age_of_Vehicle1,Age_of_Vehicle2,Age_of_Vehicle3
201442I429312,1.238464,51.839551,1,2,1,6,22.25,4,6,30,3,4,6,0,0,4,1,2,0,0,1,21,9,0,18,9,0,10,10,0,8,8,0,1,6,0,13,13,0,9,3,0,12,12,0,1,3,0,1,1,0,6,6,0,1,1,0,8,11,0,8,12,0
201442I435912,0.57581,51.908039,1,2,2,5,7.50,3,6,40,3,4,6,0,0,1,1,2,0,0,1,5,9,0,11,18,0,10,10,0,1,1,0,1,6,0,13,13,0,1,9,0,10,12,0,5,1,0,1,1,0,2,2,0,1,2,0,7,9,0,20,17,0
201442I447912,0.051682,51.747229,1,2,1,4,4.10,6,6,40,0,0,0,0,0,6,1,1,0,0,1,9,3,0,17,16,0,10,10,0,9,9,0,6,1,0,13,13,0,9,7,0,12,12,0,1,3,0,1,1,0,6,2,0,2,1,0,5,5,0,5,16,0
201443N003034,-0.721253,51.722169,1,2,3,3,5.54,3,6,60,0,0,0,0,0,6,1,4,0,0,2,9,9,0,18,18,0,10,10,0,9,9,0,1,6,0,13,13,0,9,1,0,12,12,0,1,1,0,1,1,0,2,2,0,1,1,0,6,9,0,13,4,0
201443N030054,-0.555211,51.527355,1,2,2,1,13.1,3,3,60,3,4,6,0,0,1,1,1,0,0,2,5,9,0,18,9,0,10,10,0,8,8,0,6,6,0,13,13,0,9,9,0,12,12,0,1,4,0,1,1,0,6,6,0,1,1,0,7,9,0,6,15,0
201443N033064,-0.923499,51.667557,1,2,2,1,11.30,3,6,60,3,4,6,0,0,1,1,1,0,2,2,9,5,0,9,18,0,10,10,0,6,8,0,6,6,0,13,13,0,9,9,0,12,12,0,3,1,0,1,1,0,6,6,0,1,1,0,8,7,0,10,10,0
201443N047114,-0.681461,51.861093,1,2,5,2,6.30,5,6,60,0,0,0,0,0,1,1,2,0,0,2,19,9,0,16,17,0,10,10,0,9,9,0,6,6,0,13,13,0,9,1,0,12,9,0,3,3,0,1,1,0,1,1,0,1,1,0,7,5,0,6,2,0
201443N097094,-0.658782,51.681998,1,1,1,1,22.0,3,3,70,0,0,0,0,0,6,1,1,0,0,2,9,0,0,18,0,0,10,0,0,9,0,0,1,0,0,13,0,0,9,0,0,12,0,0,1,0,0,1,0,0,6,0,0,1,0,0,8,0,0,1,0,0
201443N123024,-0.892701,51.842204,1,3,9,5,11.9,3,6,60,0,0,0,0,0,1,1,2,0,0,2,9,9,9,18,18,18,10,10,10,9,9,9,6,6,6,13,13,13,1,1,9,12,12,12,1,1,3,1,1,1,6,6,6,2,1,2,4,7,6,5,16,11
201443N128074,-0.668929,51.597382,1,2,6,6,5.10,1,3,70,0,0,0,0,0,1,2,5,1,0,2,9,9,0,18,18,0,10,10,0,9,9,0,1,2,0,13,13,0,5,9,0,6,12,0,1,2,0,1,1,0,6,6,0,1,1,0,6,7,0,4,3,0
